1: min_energy: 0.0, max_energy: 0.0, {'qpu_sampling_time': 7050.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 29.96, 'qpu_access_time': 22117.16, 'qpu_access_overhead_time': 4070.84, 'qpu_programming_time': 15067.16, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 472.0, 'post_processing_overhead_time': 472.0}
2: min_energy: -3.0, max_energy: -3.0, {'qpu_sampling_time': 7368.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 33.14, 'qpu_access_time': 22435.56, 'qpu_access_overhead_time': 3862.44, 'qpu_programming_time': 15067.56, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 497.0, 'post_processing_overhead_time': 497.0}
3: min_energy: -11.0, max_energy: -10.0, {'qpu_sampling_time': 8732.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 46.78, 'qpu_access_time': 23801.96, 'qpu_access_overhead_time': 6291.04, 'qpu_programming_time': 15069.96, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 1881.0, 'post_processing_overhead_time': 1881.0}
4: min_energy: -7.0, max_energy: -6.0, {'qpu_sampling_time': 9698.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 56.44, 'qpu_access_time': 24767.96, 'qpu_access_overhead_time': 2168.04, 'qpu_programming_time': 15069.96, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 484.0, 'post_processing_overhead_time': 484.0}
5: min_energy: 3.0, max_energy: 4.0, {'qpu_sampling_time': 10840.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 67.86, 'qpu_access_time': 25907.16, 'qpu_access_overhead_time': 1429.84, 'qpu_programming_time': 15067.16, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 427.0, 'post_processing_overhead_time': 427.0}
6: min_energy: -9.0, max_energy: -8.0, {'qpu_sampling_time': 9110.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 50.56, 'qpu_access_time': 24177.16, 'qpu_access_overhead_time': 1856.84, 'qpu_programming_time': 15067.16, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 336.0, 'post_processing_overhead_time': 336.0}
7: min_energy: -8.0, max_energy: 13.0, {'qpu_sampling_time': 11996.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 79.42, 'qpu_access_time': 27063.16, 'qpu_access_overhead_time': 1885.84, 'qpu_programming_time': 15067.16, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 1351.0, 'post_processing_overhead_time': 1351.0}
8: min_energy: 6.0, max_energy: 64.0, {'qpu_sampling_time': 11532.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 74.78, 'qpu_access_time': 26601.96, 'qpu_access_overhead_time': 2386.04, 'qpu_programming_time': 15069.96, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 488.0, 'post_processing_overhead_time': 488.0}
9: min_energy: -4.0, max_energy: 30.0, {'qpu_sampling_time': 11194.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 71.4, 'qpu_access_time': 26261.16, 'qpu_access_overhead_time': 2785.84, 'qpu_programming_time': 15067.16, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 539.0, 'post_processing_overhead_time': 539.0}
10: min_energy: -4.0, max_energy: 36.0, {'qpu_sampling_time': 10784.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 67.3, 'qpu_access_time': 25851.16, 'qpu_access_overhead_time': 1696.84, 'qpu_programming_time': 15067.16, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 559.0, 'post_processing_overhead_time': 559.0}
11: min_energy: 4.0, max_energy: 130.0, {'qpu_sampling_time': 11976.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 79.22, 'qpu_access_time': 27045.96, 'qpu_access_overhead_time': 3617.04, 'qpu_programming_time': 15069.96, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 471.0, 'post_processing_overhead_time': 471.0}
12: min_energy: -3.0, max_energy: 18.0, {'qpu_sampling_time': 12320.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 82.66, 'qpu_access_time': 27386.76, 'qpu_access_overhead_time': 6169.24, 'qpu_programming_time': 15066.76, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 440.0, 'post_processing_overhead_time': 440.0}
13: min_energy: 3.0, max_energy: 334.0, {'qpu_sampling_time': 9038.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 49.84, 'qpu_access_time': 24105.56, 'qpu_access_overhead_time': 5667.44, 'qpu_programming_time': 15067.56, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 474.0, 'post_processing_overhead_time': 474.0}
14: min_energy: 6.0, max_energy: 346.0, {'qpu_sampling_time': 9226.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 51.72, 'qpu_access_time': 24293.96, 'qpu_access_overhead_time': 2740.04, 'qpu_programming_time': 15067.96, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 595.0, 'post_processing_overhead_time': 595.0}
15: min_energy: 3.0, max_energy: 197.0, {'qpu_sampling_time': 13438.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 93.84, 'qpu_access_time': 28504.76, 'qpu_access_overhead_time': 4081.24, 'qpu_programming_time': 15066.76, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 369.0, 'post_processing_overhead_time': 369.0}
16: min_energy: 8.0, max_energy: 169.0, {'qpu_sampling_time': 11236.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 71.82, 'qpu_access_time': 26305.96, 'qpu_access_overhead_time': 7726.04, 'qpu_programming_time': 15069.96, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 554.0, 'post_processing_overhead_time': 554.0}
17: min_energy: 14.0, max_energy: 619.0, {'qpu_sampling_time': 11592.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 75.38, 'qpu_access_time': 26659.16, 'qpu_access_overhead_time': 6441.84, 'qpu_programming_time': 15067.16, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 1990.0, 'post_processing_overhead_time': 1990.0}
