17: min_energy: 24.0, max_energy: 482.0, {'qpu_sampling_time': 13320.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 92.66, 'qpu_access_time': 28387.16, 'qpu_access_overhead_time': 4473.84, 'qpu_programming_time': 15067.16, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 419.0, 'post_processing_overhead_time': 419.0}
18: min_energy: 32.0, max_energy: 526.0, {'qpu_sampling_time': 12452.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 83.98, 'qpu_access_time': 27518.36, 'qpu_access_overhead_time': 3815.64, 'qpu_programming_time': 15066.36, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 316.0, 'post_processing_overhead_time': 316.0}
19: min_energy: 18.0, max_energy: 663.0, {'qpu_sampling_time': 10526.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 64.72, 'qpu_access_time': 25593.96, 'qpu_access_overhead_time': 3619.04, 'qpu_programming_time': 15067.96, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 317.0, 'post_processing_overhead_time': 317.0}
20: min_energy: 24.0, max_energy: 380.0, {'qpu_sampling_time': 11940.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 78.86, 'qpu_access_time': 27007.96, 'qpu_access_overhead_time': 4007.04, 'qpu_programming_time': 15067.96, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 388.0, 'post_processing_overhead_time': 388.0}
21: min_energy: 18.0, max_energy: 1066.0, {'qpu_sampling_time': 9922.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 58.68, 'qpu_access_time': 24989.56, 'qpu_access_overhead_time': 3513.44, 'qpu_programming_time': 15067.56, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 1996.0, 'post_processing_overhead_time': 1996.0}
22: min_energy: 59.0, max_energy: 1488.0, {'qpu_sampling_time': 13328.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 92.74, 'qpu_access_time': 28394.76, 'qpu_access_overhead_time': 6122.24, 'qpu_programming_time': 15066.76, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 447.0, 'post_processing_overhead_time': 447.0}
23: min_energy: 49.0, max_energy: 1186.0, {'qpu_sampling_time': 14104.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 100.5, 'qpu_access_time': 29171.96, 'qpu_access_overhead_time': 136988.04, 'qpu_programming_time': 15067.96, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 295.0, 'post_processing_overhead_time': 295.0}
24: min_energy: 5.0, max_energy: 173.0, {'qpu_sampling_time': 12124.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 80.7, 'qpu_access_time': 27190.76, 'qpu_access_overhead_time': 3817.24, 'qpu_programming_time': 15066.76, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 235.0, 'post_processing_overhead_time': 235.0}
25: min_energy: 93.0, max_energy: 1000.0, {'qpu_sampling_time': 13768.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 97.14, 'qpu_access_time': 28835.56, 'qpu_access_overhead_time': 7717.44, 'qpu_programming_time': 15067.56, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 804.0, 'post_processing_overhead_time': 804.0}
26: min_energy: 192.0, max_energy: 2387.0, {'qpu_sampling_time': 11748.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 76.94, 'qpu_access_time': 26814.76, 'qpu_access_overhead_time': 7271.24, 'qpu_programming_time': 15066.76, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 336.0, 'post_processing_overhead_time': 336.0}
