1: min_energy: -3.0, max_energy: -3.0, {'qpu_sampling_time': 8136.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 40.82, 'qpu_access_time': 23204.36, 'qpu_access_overhead_time': 6508.64, 'qpu_programming_time': 15068.36, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 124.0, 'post_processing_overhead_time': 124.0}
2: min_energy: 0.0, max_energy: 0.0, {'qpu_sampling_time': 7192.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 31.38, 'qpu_access_time': 22260.36, 'qpu_access_overhead_time': 2097.64, 'qpu_programming_time': 15068.36, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 489.0, 'post_processing_overhead_time': 489.0}
3: min_energy: -1.0, max_energy: -1.0, {'qpu_sampling_time': 8936.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 48.82, 'qpu_access_time': 24004.36, 'qpu_access_overhead_time': 5564.64, 'qpu_programming_time': 15068.36, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 131.0, 'post_processing_overhead_time': 131.0}
4: min_energy: -6.0, max_energy: -6.0, {'qpu_sampling_time': 9090.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 50.36, 'qpu_access_time': 24158.36, 'qpu_access_overhead_time': 7599.64, 'qpu_programming_time': 15068.36, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 446.0, 'post_processing_overhead_time': 446.0}
5: min_energy: -12.0, max_energy: -12.0, {'qpu_sampling_time': 10216.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 61.62, 'qpu_access_time': 25284.36, 'qpu_access_overhead_time': 4889.64, 'qpu_programming_time': 15068.36, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 303.0, 'post_processing_overhead_time': 303.0}
6: min_energy: 2.0, max_energy: 55.0, {'qpu_sampling_time': 11230.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 71.76, 'qpu_access_time': 26298.36, 'qpu_access_overhead_time': 6371.64, 'qpu_programming_time': 15068.36, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 305.0, 'post_processing_overhead_time': 305.0}
7: min_energy: -3.0, max_energy: 117.0, {'qpu_sampling_time': 12376.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 83.22, 'qpu_access_time': 27444.36, 'qpu_access_overhead_time': 3515.64, 'qpu_programming_time': 15068.36, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 506.0, 'post_processing_overhead_time': 506.0}
8: min_energy: -2.0, max_energy: 122.0, {'qpu_sampling_time': 13076.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 90.22, 'qpu_access_time': 28143.96, 'qpu_access_overhead_time': 6993.04, 'qpu_programming_time': 15067.96, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 189.0, 'post_processing_overhead_time': 189.0}
9: min_energy: -1.0, max_energy: 156.0, {'qpu_sampling_time': 9486.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 54.32, 'qpu_access_time': 24553.96, 'qpu_access_overhead_time': 2937.04, 'qpu_programming_time': 15067.96, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 188.0, 'post_processing_overhead_time': 188.0}
10: min_energy: 9.0, max_energy: 293.0, {'qpu_sampling_time': 13912.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 98.58, 'qpu_access_time': 28980.36, 'qpu_access_overhead_time': 4997.64, 'qpu_programming_time': 15068.36, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 1633.0, 'post_processing_overhead_time': 1633.0}
11: min_energy: 0.0, max_energy: 153.0, {'qpu_sampling_time': 13154.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 91.0, 'qpu_access_time': 28222.36, 'qpu_access_overhead_time': 4325.64, 'qpu_programming_time': 15068.36, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 578.0, 'post_processing_overhead_time': 578.0}
12: min_energy: -8.0, max_energy: 99.0, {'qpu_sampling_time': 12478.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 84.24, 'qpu_access_time': 27546.76, 'qpu_access_overhead_time': 4931.24, 'qpu_programming_time': 15068.76, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 860.0, 'post_processing_overhead_time': 860.0}
13: min_energy: 10.0, max_energy: 349.0, {'qpu_sampling_time': 12640.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 85.86, 'qpu_access_time': 27707.96, 'qpu_access_overhead_time': 6044.04, 'qpu_programming_time': 15067.96, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 270.0, 'post_processing_overhead_time': 270.0}
14: min_energy: 4.0, max_energy: 225.0, {'qpu_sampling_time': 11026.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 69.72, 'qpu_access_time': 26095.16, 'qpu_access_overhead_time': 4716.84, 'qpu_programming_time': 15069.16, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 1870.0, 'post_processing_overhead_time': 1870.0}
15: min_energy: 0.0, max_energy: 122.0, {'qpu_sampling_time': 11026.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 69.72, 'qpu_access_time': 26095.56, 'qpu_access_overhead_time': 8976.44, 'qpu_programming_time': 15069.56, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 289.0, 'post_processing_overhead_time': 289.0}
16: min_energy: 6.0, max_energy: 618.0, {'qpu_sampling_time': 15302.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 112.48, 'qpu_access_time': 30369.96, 'qpu_access_overhead_time': 4585.04, 'qpu_programming_time': 15067.96, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 368.0, 'post_processing_overhead_time': 368.0}
17: min_energy: 9.0, max_energy: 89.0, {'qpu_sampling_time': 11908.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 78.54, 'qpu_access_time': 26976.36, 'qpu_access_overhead_time': 3981.64, 'qpu_programming_time': 15068.36, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 167.0, 'post_processing_overhead_time': 167.0}
18: min_energy: 12.0, max_energy: 810.0, {'qpu_sampling_time': 12284.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 82.3, 'qpu_access_time': 27351.96, 'qpu_access_overhead_time': 6778.04, 'qpu_programming_time': 15067.96, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 191.0, 'post_processing_overhead_time': 191.0}
19: min_energy: 9.0, max_energy: 758.0, {'qpu_sampling_time': 11102.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 70.48, 'qpu_access_time': 26170.36, 'qpu_access_overhead_time': 2988.64, 'qpu_programming_time': 15068.36, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 1873.0, 'post_processing_overhead_time': 1873.0}
20: min_energy: 28.0, max_energy: 465.0, {'qpu_sampling_time': 13452.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 93.98, 'qpu_access_time': 28521.16, 'qpu_access_overhead_time': 3337.84, 'qpu_programming_time': 15069.16, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 505.0, 'post_processing_overhead_time': 505.0}
21: min_energy: 35.0, max_energy: 1052.0, {'qpu_sampling_time': 12632.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 85.78, 'qpu_access_time': 27699.96, 'qpu_access_overhead_time': 10468.04, 'qpu_programming_time': 15067.96, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 254.0, 'post_processing_overhead_time': 254.0}
22: min_energy: 14.0, max_energy: 258.0, {'qpu_sampling_time': 15420.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 113.66, 'qpu_access_time': 30487.96, 'qpu_access_overhead_time': 3766.04, 'qpu_programming_time': 15067.96, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 280.0, 'post_processing_overhead_time': 280.0}
23: min_energy: 37.0, max_energy: 1127.0, {'qpu_sampling_time': 13534.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 94.8, 'qpu_access_time': 28603.16, 'qpu_access_overhead_time': 10296.84, 'qpu_programming_time': 15069.16, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 286.0, 'post_processing_overhead_time': 286.0}
24: min_energy: 46.0, max_energy: 1471.0, {'qpu_sampling_time': 14136.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 100.82, 'qpu_access_time': 29202.76, 'qpu_access_overhead_time': 3188.24, 'qpu_programming_time': 15066.76, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 406.0, 'post_processing_overhead_time': 406.0}
