17: min_energy: 9.0, max_energy: 145.0, {'qpu_sampling_time': 12000.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 79.46, 'qpu_access_time': 27066.76, 'qpu_access_overhead_time': 4824.24, 'qpu_programming_time': 15066.76, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 476.0, 'post_processing_overhead_time': 476.0}
18: min_energy: 17.0, max_energy: 668.0, {'qpu_sampling_time': 11612.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 75.58, 'qpu_access_time': 26679.16, 'qpu_access_overhead_time': 3893.84, 'qpu_programming_time': 15067.16, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 531.0, 'post_processing_overhead_time': 531.0}
19: min_energy: -23.0, max_energy: -3.0, {'qpu_sampling_time': 12512.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 84.58, 'qpu_access_time': 27582.36, 'qpu_access_overhead_time': 7135.64, 'qpu_programming_time': 15070.36, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 1889.0, 'post_processing_overhead_time': 1889.0}
20: min_energy: -1.0, max_energy: 73.0, {'qpu_sampling_time': 9302.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 52.48, 'qpu_access_time': 24368.76, 'qpu_access_overhead_time': 4067.24, 'qpu_programming_time': 15066.76, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 788.0, 'post_processing_overhead_time': 788.0}
21: min_energy: 15.0, max_energy: 554.0, {'qpu_sampling_time': 11768.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 77.14, 'qpu_access_time': 26835.16, 'qpu_access_overhead_time': 5505.84, 'qpu_programming_time': 15067.16, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 456.0, 'post_processing_overhead_time': 456.0}
22: min_energy: -58.0, max_energy: -56.0, {'qpu_sampling_time': 13392.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 93.38, 'qpu_access_time': 28457.96, 'qpu_access_overhead_time': 3418.04, 'qpu_programming_time': 15065.96, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 628.0, 'post_processing_overhead_time': 628.0}
23: min_energy: 34.0, max_energy: 494.0, {'qpu_sampling_time': 12336.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 82.82, 'qpu_access_time': 27402.36, 'qpu_access_overhead_time': 4871.64, 'qpu_programming_time': 15066.36, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 498.0, 'post_processing_overhead_time': 498.0}
24: min_energy: 72.0, max_energy: 1705.0, {'qpu_sampling_time': 16230.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 121.76, 'qpu_access_time': 31300.76, 'qpu_access_overhead_time': 5478.24, 'qpu_programming_time': 15070.76, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 623.0, 'post_processing_overhead_time': 623.0}
25: min_energy: 35.0, max_energy: 935.0, {'qpu_sampling_time': 12014.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 79.6, 'qpu_access_time': 27083.16, 'qpu_access_overhead_time': 3221.84, 'qpu_programming_time': 15069.16, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 435.0, 'post_processing_overhead_time': 435.0}
26: min_energy: 57.0, max_energy: 1145.0, {'qpu_sampling_time': 13018.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 89.64, 'qpu_access_time': 28084.76, 'qpu_access_overhead_time': 5351.24, 'qpu_programming_time': 15066.76, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 497.0, 'post_processing_overhead_time': 497.0}
27: min_energy: 33.0, max_energy: 675.0, {'qpu_sampling_time': 11902.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 78.48, 'qpu_access_time': 26971.96, 'qpu_access_overhead_time': 4016.04, 'qpu_programming_time': 15069.96, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 421.0, 'post_processing_overhead_time': 421.0}
