1: min_energy: -7.0, max_energy: -7.0, {'qpu_sampling_time': 7106.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 30.52, 'qpu_access_time': 22173.16, 'qpu_access_overhead_time': 2231.84, 'qpu_programming_time': 15067.16, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 3729.0, 'post_processing_overhead_time': 3729.0}
2: min_energy: -5.0, max_energy: -5.0, {'qpu_sampling_time': 7830.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 37.76, 'qpu_access_time': 22897.16, 'qpu_access_overhead_time': 2244.84, 'qpu_programming_time': 15067.16, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 446.0, 'post_processing_overhead_time': 446.0}
3: min_energy: -10.0, max_energy: -10.0, {'qpu_sampling_time': 10332.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 62.78, 'qpu_access_time': 25398.76, 'qpu_access_overhead_time': 11604.24, 'qpu_programming_time': 15066.76, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 634.0, 'post_processing_overhead_time': 634.0}
4: min_energy: -6.0, max_energy: -4.0, {'qpu_sampling_time': 11460.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 74.06, 'qpu_access_time': 26527.56, 'qpu_access_overhead_time': 2613.44, 'qpu_programming_time': 15067.56, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 386.0, 'post_processing_overhead_time': 386.0}
5: min_energy: -1.0, max_energy: -1.0, {'qpu_sampling_time': 10240.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 61.86, 'qpu_access_time': 25307.16, 'qpu_access_overhead_time': 6763.84, 'qpu_programming_time': 15067.16, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 502.0, 'post_processing_overhead_time': 502.0}
6: min_energy: 0.0, max_energy: 36.0, {'qpu_sampling_time': 10858.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 68.04, 'qpu_access_time': 25925.16, 'qpu_access_overhead_time': 3672.84, 'qpu_programming_time': 15067.16, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 458.0, 'post_processing_overhead_time': 458.0}
7: min_energy: -3.0, max_energy: 66.0, {'qpu_sampling_time': 10334.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 62.8, 'qpu_access_time': 25401.16, 'qpu_access_overhead_time': 2452.84, 'qpu_programming_time': 15067.16, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 347.0, 'post_processing_overhead_time': 347.0}
8: min_energy: -23.0, max_energy: -21.0, {'qpu_sampling_time': 12612.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 85.58, 'qpu_access_time': 27679.16, 'qpu_access_overhead_time': 2213.84, 'qpu_programming_time': 15067.16, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 1696.0, 'post_processing_overhead_time': 1696.0}
9: min_energy: 1.0, max_energy: 34.0, {'qpu_sampling_time': 10784.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 67.3, 'qpu_access_time': 25850.36, 'qpu_access_overhead_time': 5723.64, 'qpu_programming_time': 15066.36, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 580.0, 'post_processing_overhead_time': 580.0}
10: min_energy: 0.0, max_energy: 179.0, {'qpu_sampling_time': 12868.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 88.14, 'qpu_access_time': 27935.16, 'qpu_access_overhead_time': 1936.84, 'qpu_programming_time': 15067.16, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 811.0, 'post_processing_overhead_time': 811.0}
11: min_energy: -20.0, max_energy: -17.0, {'qpu_sampling_time': 11704.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 76.5, 'qpu_access_time': 26770.76, 'qpu_access_overhead_time': 6456.24, 'qpu_programming_time': 15066.76, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 634.0, 'post_processing_overhead_time': 634.0}
12: min_energy: -8.0, max_energy: 56.0, {'qpu_sampling_time': 11808.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 77.54, 'qpu_access_time': 26875.16, 'qpu_access_overhead_time': 3264.84, 'qpu_programming_time': 15067.16, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 638.0, 'post_processing_overhead_time': 638.0}
13: min_energy: 0.0, max_energy: 82.0, {'qpu_sampling_time': 13098.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 90.44, 'qpu_access_time': 28165.56, 'qpu_access_overhead_time': 5072.44, 'qpu_programming_time': 15067.56, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 416.0, 'post_processing_overhead_time': 416.0}
14: min_energy: -1.0, max_energy: 61.0, {'qpu_sampling_time': 10890.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 68.36, 'qpu_access_time': 25957.16, 'qpu_access_overhead_time': 3626.84, 'qpu_programming_time': 15067.16, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 2053.0, 'post_processing_overhead_time': 2053.0}
15: min_energy: 13.0, max_energy: 315.0, {'qpu_sampling_time': 13096.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 90.42, 'qpu_access_time': 28163.56, 'qpu_access_overhead_time': 3270.44, 'qpu_programming_time': 15067.56, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 1898.0, 'post_processing_overhead_time': 1898.0}
16: min_energy: -38.0, max_energy: -36.0, {'qpu_sampling_time': 12700.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 86.46, 'qpu_access_time': 27766.76, 'qpu_access_overhead_time': 6236.24, 'qpu_programming_time': 15066.76, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 1873.0, 'post_processing_overhead_time': 1873.0}
17: min_energy: 8.0, max_energy: 425.0, {'qpu_sampling_time': 11328.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 72.74, 'qpu_access_time': 26395.96, 'qpu_access_overhead_time': 2718.04, 'qpu_programming_time': 15067.96, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 579.0, 'post_processing_overhead_time': 579.0}
18: min_energy: 17.0, max_energy: 583.0, {'qpu_sampling_time': 12812.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 87.58, 'qpu_access_time': 27879.96, 'qpu_access_overhead_time': 7369.04, 'qpu_programming_time': 15067.96, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 1970.0, 'post_processing_overhead_time': 1970.0}
19: min_energy: 8.0, max_energy: 116.0, {'qpu_sampling_time': 11836.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 77.82, 'qpu_access_time': 26903.96, 'qpu_access_overhead_time': 3798.04, 'qpu_programming_time': 15067.96, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 2149.0, 'post_processing_overhead_time': 2149.0}
20: min_energy: -11.0, max_energy: 57.0, {'qpu_sampling_time': 12578.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 85.24, 'qpu_access_time': 27644.36, 'qpu_access_overhead_time': 7276.64, 'qpu_programming_time': 15066.36, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 3708.0, 'post_processing_overhead_time': 3708.0}
21: min_energy: -33.0, max_energy: -30.0, {'qpu_sampling_time': 13270.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 92.16, 'qpu_access_time': 28337.16, 'qpu_access_overhead_time': 7589.84, 'qpu_programming_time': 15067.16, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 1864.0, 'post_processing_overhead_time': 1864.0}
22: min_energy: 25.0, max_energy: 205.0, {'qpu_sampling_time': 10182.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 61.28, 'qpu_access_time': 25249.56, 'qpu_access_overhead_time': 3918.44, 'qpu_programming_time': 15067.56, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 1905.0, 'post_processing_overhead_time': 1905.0}
23: min_energy: 35.0, max_energy: 927.0, {'qpu_sampling_time': 12000.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 79.46, 'qpu_access_time': 27067.16, 'qpu_access_overhead_time': 5020.84, 'qpu_programming_time': 15067.16, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 1360.0, 'post_processing_overhead_time': 1360.0}
