1: min_energy: -6.0, max_energy: -6.0, {'qpu_sampling_time': 6410.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 23.56, 'qpu_access_time': 21477.16, 'qpu_access_overhead_time': 3509.84, 'qpu_programming_time': 15067.16, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 642.0, 'post_processing_overhead_time': 642.0}
2: min_energy: 1.0, max_energy: 1.0, {'qpu_sampling_time': 6874.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 28.2, 'qpu_access_time': 21941.16, 'qpu_access_overhead_time': 1593.84, 'qpu_programming_time': 15067.16, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 488.0, 'post_processing_overhead_time': 488.0}
3: min_energy: 1.0, max_energy: 3.0, {'qpu_sampling_time': 8868.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 48.14, 'qpu_access_time': 23935.56, 'qpu_access_overhead_time': 6526.44, 'qpu_programming_time': 15067.56, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 420.0, 'post_processing_overhead_time': 420.0}
4: min_energy: 1.0, max_energy: 3.0, {'qpu_sampling_time': 8252.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 41.98, 'qpu_access_time': 23319.16, 'qpu_access_overhead_time': 3035.84, 'qpu_programming_time': 15067.16, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 633.0, 'post_processing_overhead_time': 633.0}
5: min_energy: -5.0, max_energy: -2.0, {'qpu_sampling_time': 11040.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 69.86, 'qpu_access_time': 26107.16, 'qpu_access_overhead_time': 1828.84, 'qpu_programming_time': 15067.16, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 491.0, 'post_processing_overhead_time': 491.0}
6: min_energy: -7.0, max_energy: -3.0, {'qpu_sampling_time': 10646.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 65.92, 'qpu_access_time': 25713.56, 'qpu_access_overhead_time': 6329.44, 'qpu_programming_time': 15067.56, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 515.0, 'post_processing_overhead_time': 515.0}
7: min_energy: -3.0, max_energy: 64.0, {'qpu_sampling_time': 12520.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 84.66, 'qpu_access_time': 27587.16, 'qpu_access_overhead_time': 1905.84, 'qpu_programming_time': 15067.16, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 566.0, 'post_processing_overhead_time': 566.0}
8: min_energy: -1.0, max_energy: 30.0, {'qpu_sampling_time': 12324.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 82.7, 'qpu_access_time': 27391.16, 'qpu_access_overhead_time': 1952.84, 'qpu_programming_time': 15067.16, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 633.0, 'post_processing_overhead_time': 633.0}
9: min_energy: 0.0, max_energy: 74.0, {'qpu_sampling_time': 12200.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 81.46, 'qpu_access_time': 27267.16, 'qpu_access_overhead_time': 2223.84, 'qpu_programming_time': 15067.16, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 839.0, 'post_processing_overhead_time': 839.0}
10: min_energy: -17.0, max_energy: -15.0, {'qpu_sampling_time': 10880.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 68.26, 'qpu_access_time': 25947.16, 'qpu_access_overhead_time': 3683.84, 'qpu_programming_time': 15067.16, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 612.0, 'post_processing_overhead_time': 612.0}
11: min_energy: 6.0, max_energy: 109.0, {'qpu_sampling_time': 11088.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 70.34, 'qpu_access_time': 26155.56, 'qpu_access_overhead_time': 3293.44, 'qpu_programming_time': 15067.56, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 569.0, 'post_processing_overhead_time': 569.0}
