1: min_energy: -7.0, max_energy: -7.0, {'qpu_sampling_time': 6834.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 27.8, 'qpu_access_time': 21900.36, 'qpu_access_overhead_time': 4365.64, 'qpu_programming_time': 15066.36, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 3661.0, 'post_processing_overhead_time': 3661.0}
2: min_energy: -6.0, max_energy: -6.0, {'qpu_sampling_time': 7576.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 35.22, 'qpu_access_time': 22642.36, 'qpu_access_overhead_time': 4913.64, 'qpu_programming_time': 15066.36, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 3667.0, 'post_processing_overhead_time': 3667.0}
3: min_energy: 0.0, max_energy: 0.0, {'qpu_sampling_time': 7606.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 35.52, 'qpu_access_time': 22672.36, 'qpu_access_overhead_time': 1826.64, 'qpu_programming_time': 15066.36, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 3653.0, 'post_processing_overhead_time': 3653.0}
4: min_energy: -3.0, max_energy: -3.0, {'qpu_sampling_time': 8946.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 48.92, 'qpu_access_time': 24012.36, 'qpu_access_overhead_time': 1842.64, 'qpu_programming_time': 15066.36, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 1871.0, 'post_processing_overhead_time': 1871.0}
5: min_energy: 4.0, max_energy: 38.0, {'qpu_sampling_time': 10150.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 60.96, 'qpu_access_time': 25216.76, 'qpu_access_overhead_time': 5899.24, 'qpu_programming_time': 15066.76, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 3751.0, 'post_processing_overhead_time': 3751.0}
6: min_energy: 2.0, max_energy: 44.0, {'qpu_sampling_time': 9354.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 53.0, 'qpu_access_time': 24420.36, 'qpu_access_overhead_time': 4209.64, 'qpu_programming_time': 15066.36, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 406.0, 'post_processing_overhead_time': 406.0}
7: min_energy: -3.0, max_energy: 71.0, {'qpu_sampling_time': 12064.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 80.1, 'qpu_access_time': 27130.36, 'qpu_access_overhead_time': 2558.64, 'qpu_programming_time': 15066.36, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 562.0, 'post_processing_overhead_time': 562.0}
8: min_energy: -3.0, max_energy: 55.0, {'qpu_sampling_time': 10114.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 60.6, 'qpu_access_time': 25180.36, 'qpu_access_overhead_time': 1918.64, 'qpu_programming_time': 15066.36, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 578.0, 'post_processing_overhead_time': 578.0}
9: min_energy: -24.0, max_energy: -23.0, {'qpu_sampling_time': 11802.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 77.48, 'qpu_access_time': 26868.36, 'qpu_access_overhead_time': 1763.64, 'qpu_programming_time': 15066.36, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 501.0, 'post_processing_overhead_time': 501.0}
10: min_energy: 1.0, max_energy: 146.0, {'qpu_sampling_time': 10706.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 66.52, 'qpu_access_time': 25772.36, 'qpu_access_overhead_time': 165899.64, 'qpu_programming_time': 15066.36, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 1700.0, 'post_processing_overhead_time': 1700.0}
11: min_energy: 6.0, max_energy: 86.0, {'qpu_sampling_time': 12156.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 81.02, 'qpu_access_time': 27222.36, 'qpu_access_overhead_time': 4930.64, 'qpu_programming_time': 15066.36, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 407.0, 'post_processing_overhead_time': 407.0}
12: min_energy: -3.0, max_energy: 49.0, {'qpu_sampling_time': 8974.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 49.2, 'qpu_access_time': 24040.36, 'qpu_access_overhead_time': 3303.64, 'qpu_programming_time': 15066.36, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 223.0, 'post_processing_overhead_time': 223.0}
13: min_energy: -33.0, max_energy: -32.0, {'qpu_sampling_time': 11542.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 74.88, 'qpu_access_time': 26608.36, 'qpu_access_overhead_time': 3072.64, 'qpu_programming_time': 15066.36, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 304.0, 'post_processing_overhead_time': 304.0}
14: min_energy: 8.0, max_energy: 429.0, {'qpu_sampling_time': 10738.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 66.84, 'qpu_access_time': 25803.16, 'qpu_access_overhead_time': 6354.84, 'qpu_programming_time': 15065.16, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 1563.0, 'post_processing_overhead_time': 1563.0}
15: min_energy: 14.0, max_energy: 466.0, {'qpu_sampling_time': 12008.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 79.54, 'qpu_access_time': 27073.96, 'qpu_access_overhead_time': 3525.04, 'qpu_programming_time': 15065.96, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 1570.0, 'post_processing_overhead_time': 1570.0}
16: min_energy: 5.0, max_energy: 121.0, {'qpu_sampling_time': 13066.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 90.12, 'qpu_access_time': 28132.76, 'qpu_access_overhead_time': 5313.24, 'qpu_programming_time': 15066.76, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 260.0, 'post_processing_overhead_time': 260.0}
17: min_energy: 10.0, max_energy: 250.0, {'qpu_sampling_time': 10438.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 63.84, 'qpu_access_time': 25504.76, 'qpu_access_overhead_time': 4335.24, 'qpu_programming_time': 15066.76, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 1101.0, 'post_processing_overhead_time': 1101.0}
18: min_energy: 15.0, max_energy: 782.0, {'qpu_sampling_time': 9162.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 51.08, 'qpu_access_time': 24228.76, 'qpu_access_overhead_time': 6544.24, 'qpu_programming_time': 15066.76, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 955.0, 'post_processing_overhead_time': 955.0}
19: min_energy: 30.0, max_energy: 441.0, {'qpu_sampling_time': 11800.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 77.46, 'qpu_access_time': 26866.36, 'qpu_access_overhead_time': 3504.64, 'qpu_programming_time': 15066.36, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 898.0, 'post_processing_overhead_time': 898.0}
20: min_energy: 18.0, max_energy: 427.0, {'qpu_sampling_time': 12154.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 81.0, 'qpu_access_time': 27220.36, 'qpu_access_overhead_time': 4013.64, 'qpu_programming_time': 15066.36, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 814.0, 'post_processing_overhead_time': 814.0}
21: min_energy: 29.0, max_energy: 936.0, {'qpu_sampling_time': 13184.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 91.3, 'qpu_access_time': 28249.96, 'qpu_access_overhead_time': 2804.04, 'qpu_programming_time': 15065.96, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 397.0, 'post_processing_overhead_time': 397.0}
22: min_energy: 21.0, max_energy: 646.0, {'qpu_sampling_time': 10334.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 62.8, 'qpu_access_time': 25401.56, 'qpu_access_overhead_time': 5541.44, 'qpu_programming_time': 15067.56, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 1232.0, 'post_processing_overhead_time': 1232.0}
23: min_energy: 29.0, max_energy: 477.0, {'qpu_sampling_time': 12908.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 88.54, 'qpu_access_time': 27973.56, 'qpu_access_overhead_time': 2104.44, 'qpu_programming_time': 15065.56, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 320.0, 'post_processing_overhead_time': 320.0}
24: min_energy: 37.0, max_energy: 964.0, {'qpu_sampling_time': 15878.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 118.24, 'qpu_access_time': 30944.76, 'qpu_access_overhead_time': 7247.24, 'qpu_programming_time': 15066.76, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 275.0, 'post_processing_overhead_time': 275.0}
25: min_energy: 23.0, max_energy: 261.0, {'qpu_sampling_time': 15930.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 118.76, 'qpu_access_time': 30997.56, 'qpu_access_overhead_time': 3124.44, 'qpu_programming_time': 15067.56, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 1458.0, 'post_processing_overhead_time': 1458.0}
