1: min_energy: -8.0, max_energy: -8.0, {'qpu_sampling_time': 7146.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 30.92, 'qpu_access_time': 22214.36, 'qpu_access_overhead_time': 1550.64, 'qpu_programming_time': 15068.36, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 469.0, 'post_processing_overhead_time': 469.0}
2: min_energy: -9.0, max_energy: -9.0, {'qpu_sampling_time': 7400.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 33.46, 'qpu_access_time': 22468.36, 'qpu_access_overhead_time': 1882.64, 'qpu_programming_time': 15068.36, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 530.0, 'post_processing_overhead_time': 530.0}
3: min_energy: 0.0, max_energy: 0.0, {'qpu_sampling_time': 7598.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 35.44, 'qpu_access_time': 22666.36, 'qpu_access_overhead_time': 1787.64, 'qpu_programming_time': 15068.36, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 694.0, 'post_processing_overhead_time': 694.0}
4: min_energy: -19.0, max_energy: -18.0, {'qpu_sampling_time': 10202.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 61.48, 'qpu_access_time': 25270.36, 'qpu_access_overhead_time': 2047.64, 'qpu_programming_time': 15068.36, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 3689.0, 'post_processing_overhead_time': 3689.0}
5: min_energy: -3.0, max_energy: -2.0, {'qpu_sampling_time': 8216.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 41.62, 'qpu_access_time': 23284.36, 'qpu_access_overhead_time': 1480.64, 'qpu_programming_time': 15068.36, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 460.0, 'post_processing_overhead_time': 460.0}
6: min_energy: -3.0, max_energy: 66.0, {'qpu_sampling_time': 9714.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 56.6, 'qpu_access_time': 24782.76, 'qpu_access_overhead_time': 2164.24, 'qpu_programming_time': 15068.76, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 402.0, 'post_processing_overhead_time': 402.0}
7: min_energy: 0.0, max_energy: 53.0, {'qpu_sampling_time': 12904.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 88.5, 'qpu_access_time': 27972.36, 'qpu_access_overhead_time': 1903.64, 'qpu_programming_time': 15068.36, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 556.0, 'post_processing_overhead_time': 556.0}
8: min_energy: -3.0, max_energy: 58.0, {'qpu_sampling_time': 9082.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 50.28, 'qpu_access_time': 24150.76, 'qpu_access_overhead_time': 6826.24, 'qpu_programming_time': 15068.76, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 1888.0, 'post_processing_overhead_time': 1888.0}
9: min_energy: -1.0, max_energy: 182.0, {'qpu_sampling_time': 8622.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 45.68, 'qpu_access_time': 23690.76, 'qpu_access_overhead_time': 3821.24, 'qpu_programming_time': 15068.76, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 510.0, 'post_processing_overhead_time': 510.0}
10: min_energy: -4.0, max_energy: 21.0, {'qpu_sampling_time': 12756.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 87.02, 'qpu_access_time': 27824.36, 'qpu_access_overhead_time': 2693.64, 'qpu_programming_time': 15068.36, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 539.0, 'post_processing_overhead_time': 539.0}
11: min_energy: -3.0, max_energy: 96.0, {'qpu_sampling_time': 10992.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 69.38, 'qpu_access_time': 26060.36, 'qpu_access_overhead_time': 6489.64, 'qpu_programming_time': 15068.36, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 516.0, 'post_processing_overhead_time': 516.0}
