1: min_energy: 0.0, max_energy: 0.0, {'qpu_sampling_time': 7234.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 31.8, 'qpu_access_time': 22300.36, 'qpu_access_overhead_time': 6145.64, 'qpu_programming_time': 15066.36, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 483.0, 'post_processing_overhead_time': 483.0}
2: min_energy: -5.0, max_energy: -5.0, {'qpu_sampling_time': 7256.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 32.02, 'qpu_access_time': 22322.76, 'qpu_access_overhead_time': 3212.24, 'qpu_programming_time': 15066.76, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 297.0, 'post_processing_overhead_time': 297.0}
3: min_energy: -1.0, max_energy: -1.0, {'qpu_sampling_time': 9676.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 56.22, 'qpu_access_time': 24742.36, 'qpu_access_overhead_time': 1233.64, 'qpu_programming_time': 15066.36, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 1906.0, 'post_processing_overhead_time': 1906.0}
4: min_energy: -3.0, max_energy: 0.0, {'qpu_sampling_time': 8930.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 48.76, 'qpu_access_time': 23996.36, 'qpu_access_overhead_time': 6045.64, 'qpu_programming_time': 15066.36, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 453.0, 'post_processing_overhead_time': 453.0}
5: min_energy: -3.0, max_energy: -1.0, {'qpu_sampling_time': 8936.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 48.82, 'qpu_access_time': 24002.36, 'qpu_access_overhead_time': 1248.64, 'qpu_programming_time': 15066.36, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 336.0, 'post_processing_overhead_time': 336.0}
6: min_energy: -5.0, max_energy: 24.0, {'qpu_sampling_time': 11732.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 76.78, 'qpu_access_time': 26798.36, 'qpu_access_overhead_time': 3765.64, 'qpu_programming_time': 15066.36, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 3732.0, 'post_processing_overhead_time': 3732.0}
7: min_energy: -1.0, max_energy: 75.0, {'qpu_sampling_time': 11232.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 71.78, 'qpu_access_time': 26298.76, 'qpu_access_overhead_time': 7336.24, 'qpu_programming_time': 15066.76, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 3701.0, 'post_processing_overhead_time': 3701.0}
8: min_energy: 0.0, max_energy: 51.0, {'qpu_sampling_time': 12492.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 84.38, 'qpu_access_time': 27558.76, 'qpu_access_overhead_time': 6459.24, 'qpu_programming_time': 15066.76, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 1930.0, 'post_processing_overhead_time': 1930.0}
9: min_energy: 0.0, max_energy: 122.0, {'qpu_sampling_time': 8994.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 49.4, 'qpu_access_time': 24060.36, 'qpu_access_overhead_time': 7372.64, 'qpu_programming_time': 15066.36, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 3805.0, 'post_processing_overhead_time': 3805.0}
10: min_energy: -34.0, max_energy: -33.0, {'qpu_sampling_time': 12232.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 81.78, 'qpu_access_time': 27297.96, 'qpu_access_overhead_time': 6951.04, 'qpu_programming_time': 15065.96, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 864.0, 'post_processing_overhead_time': 864.0}
11: min_energy: -9.0, max_energy: 24.0, {'qpu_sampling_time': 12204.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 81.5, 'qpu_access_time': 27270.76, 'qpu_access_overhead_time': 7917.24, 'qpu_programming_time': 15066.76, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 413.0, 'post_processing_overhead_time': 413.0}
