1: min_energy: 0.0, max_energy: 0.0, {'qpu_sampling_time': 7864.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 38.1, 'qpu_access_time': 22932.36, 'qpu_access_overhead_time': 2102.64, 'qpu_programming_time': 15068.36, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 1356.0, 'post_processing_overhead_time': 1356.0}
2: min_energy: -9.0, max_energy: -8.0, {'qpu_sampling_time': 8362.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 43.08, 'qpu_access_time': 23430.36, 'qpu_access_overhead_time': 7962.64, 'qpu_programming_time': 15068.36, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 727.0, 'post_processing_overhead_time': 727.0}
3: min_energy: -7.0, max_energy: -7.0, {'qpu_sampling_time': 8100.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 40.46, 'qpu_access_time': 23168.36, 'qpu_access_overhead_time': 1765.64, 'qpu_programming_time': 15068.36, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 415.0, 'post_processing_overhead_time': 415.0}
4: min_energy: -7.0, max_energy: -7.0, {'qpu_sampling_time': 10914.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 68.6, 'qpu_access_time': 25982.36, 'qpu_access_overhead_time': 2437.64, 'qpu_programming_time': 15068.36, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 375.0, 'post_processing_overhead_time': 375.0}
5: min_energy: -2.0, max_energy: -2.0, {'qpu_sampling_time': 10256.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 62.02, 'qpu_access_time': 25324.36, 'qpu_access_overhead_time': 1947.64, 'qpu_programming_time': 15068.36, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 326.0, 'post_processing_overhead_time': 326.0}
6: min_energy: 3.0, max_energy: 5.0, {'qpu_sampling_time': 9862.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 58.08, 'qpu_access_time': 24930.36, 'qpu_access_overhead_time': 2533.64, 'qpu_programming_time': 15068.36, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 441.0, 'post_processing_overhead_time': 441.0}
7: min_energy: 3.0, max_energy: 37.0, {'qpu_sampling_time': 9662.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 56.08, 'qpu_access_time': 24729.96, 'qpu_access_overhead_time': 6935.04, 'qpu_programming_time': 15067.96, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 656.0, 'post_processing_overhead_time': 656.0}
8: min_energy: -22.0, max_energy: -20.0, {'qpu_sampling_time': 10218.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 61.64, 'qpu_access_time': 25286.36, 'qpu_access_overhead_time': 2715.64, 'qpu_programming_time': 15068.36, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 646.0, 'post_processing_overhead_time': 646.0}
9: min_energy: -7.0, max_energy: 49.0, {'qpu_sampling_time': 10912.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 68.58, 'qpu_access_time': 25981.16, 'qpu_access_overhead_time': 5637.84, 'qpu_programming_time': 15069.16, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 229.0, 'post_processing_overhead_time': 229.0}
10: min_energy: 0.0, max_energy: 182.0, {'qpu_sampling_time': 12772.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 87.18, 'qpu_access_time': 27840.36, 'qpu_access_overhead_time': 121516.64, 'qpu_programming_time': 15068.36, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 1722.0, 'post_processing_overhead_time': 1722.0}
11: min_energy: -18.0, max_energy: 31.0, {'qpu_sampling_time': 11550.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 74.96, 'qpu_access_time': 26618.36, 'qpu_access_overhead_time': 5540.64, 'qpu_programming_time': 15068.36, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 591.0, 'post_processing_overhead_time': 591.0}
12: min_energy: 5.0, max_energy: 184.0, {'qpu_sampling_time': 13464.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 94.1, 'qpu_access_time': 28532.36, 'qpu_access_overhead_time': 5460.64, 'qpu_programming_time': 15068.36, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 548.0, 'post_processing_overhead_time': 548.0}
13: min_energy: 1.0, max_energy: 139.0, {'qpu_sampling_time': 10002.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 59.48, 'qpu_access_time': 25070.76, 'qpu_access_overhead_time': 4309.24, 'qpu_programming_time': 15068.76, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 400.0, 'post_processing_overhead_time': 400.0}
14: min_energy: -17.0, max_energy: 14.0, {'qpu_sampling_time': 10708.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 66.54, 'qpu_access_time': 25776.36, 'qpu_access_overhead_time': 5724.64, 'qpu_programming_time': 15068.36, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 676.0, 'post_processing_overhead_time': 676.0}
15: min_energy: 7.0, max_energy: 216.0, {'qpu_sampling_time': 9844.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 57.9, 'qpu_access_time': 24911.96, 'qpu_access_overhead_time': 4442.04, 'qpu_programming_time': 15067.96, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 1859.0, 'post_processing_overhead_time': 1859.0}
16: min_energy: 16.0, max_energy: 641.0, {'qpu_sampling_time': 13180.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 91.26, 'qpu_access_time': 28247.56, 'qpu_access_overhead_time': 7180.44, 'qpu_programming_time': 15067.56, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 447.0, 'post_processing_overhead_time': 447.0}
17: min_energy: 13.0, max_energy: 187.0, {'qpu_sampling_time': 12408.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 83.54, 'qpu_access_time': 27477.56, 'qpu_access_overhead_time': 3263.44, 'qpu_programming_time': 15069.56, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 705.0, 'post_processing_overhead_time': 705.0}
18: min_energy: 10.0, max_energy: 848.0, {'qpu_sampling_time': 9882.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 58.28, 'qpu_access_time': 24950.36, 'qpu_access_overhead_time': 3414.64, 'qpu_programming_time': 15068.36, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 584.0, 'post_processing_overhead_time': 584.0}
19: min_energy: 28.0, max_energy: 462.0, {'qpu_sampling_time': 13218.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 91.64, 'qpu_access_time': 28285.96, 'qpu_access_overhead_time': 3326.04, 'qpu_programming_time': 15067.96, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 322.0, 'post_processing_overhead_time': 322.0}
20: min_energy: -48.0, max_energy: -46.0, {'qpu_sampling_time': 13064.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 90.1, 'qpu_access_time': 28132.76, 'qpu_access_overhead_time': 7648.24, 'qpu_programming_time': 15068.76, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 617.0, 'post_processing_overhead_time': 617.0}
21: min_energy: 30.0, max_energy: 304.0, {'qpu_sampling_time': 12412.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 83.58, 'qpu_access_time': 27479.96, 'qpu_access_overhead_time': 3343.04, 'qpu_programming_time': 15067.96, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 569.0, 'post_processing_overhead_time': 569.0}
