1: min_energy: 0.0, max_energy: 0.0, {'qpu_sampling_time': 23894.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 198.4, 'qpu_access_time': 34600.9, 'qpu_access_overhead_time': 1170.1, 'qpu_programming_time': 10706.9, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 635.0, 'post_processing_overhead_time': 635.0}
2: min_energy: -8.0, max_energy: -8.0, {'qpu_sampling_time': 23894.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 198.4, 'qpu_access_time': 34628.5, 'qpu_access_overhead_time': 1133.5, 'qpu_programming_time': 10734.5, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 3753.0, 'post_processing_overhead_time': 3753.0}
3: min_energy: -7.0, max_energy: -7.0, {'qpu_sampling_time': 23894.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 198.4, 'qpu_access_time': 34629.5, 'qpu_access_overhead_time': 1832.5, 'qpu_programming_time': 10735.5, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 503.0, 'post_processing_overhead_time': 503.0}
4: min_energy: -2.0, max_energy: -1.0, {'qpu_sampling_time': 23894.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 198.4, 'qpu_access_time': 34630.7, 'qpu_access_overhead_time': 1347.3, 'qpu_programming_time': 10736.7, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 308.0, 'post_processing_overhead_time': 308.0}
5: min_energy: -9.0, max_energy: -9.0, {'qpu_sampling_time': 23894.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 198.4, 'qpu_access_time': 34601.3, 'qpu_access_overhead_time': 1291.7, 'qpu_programming_time': 10707.3, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 984.0, 'post_processing_overhead_time': 984.0}
6: min_energy: -3.0, max_energy: 35.0, {'qpu_sampling_time': 23894.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 198.4, 'qpu_access_time': 34651.9, 'qpu_access_overhead_time': 1277.1, 'qpu_programming_time': 10757.9, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 1605.0, 'post_processing_overhead_time': 1605.0}
7: min_energy: -6.0, max_energy: 10.0, {'qpu_sampling_time': 24220.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 201.66, 'qpu_access_time': 34977.1, 'qpu_access_overhead_time': 1670.9, 'qpu_programming_time': 10757.1, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 387.0, 'post_processing_overhead_time': 387.0}
8: min_energy: -8.0, max_energy: -8.0, {'qpu_sampling_time': 24146.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 200.92, 'qpu_access_time': 34878.5, 'qpu_access_overhead_time': 1466.5, 'qpu_programming_time': 10732.5, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 359.0, 'post_processing_overhead_time': 359.0}
9: min_energy: -11.0, max_energy: -10.0, {'qpu_sampling_time': 23894.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 198.4, 'qpu_access_time': 34625.3, 'qpu_access_overhead_time': 1180.7, 'qpu_programming_time': 10731.3, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 384.0, 'post_processing_overhead_time': 384.0}
10: min_energy: -4.0, max_energy: 26.0, {'qpu_sampling_time': 23894.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 198.4, 'qpu_access_time': 34664.3, 'qpu_access_overhead_time': 1206.7, 'qpu_programming_time': 10770.3, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 1965.0, 'post_processing_overhead_time': 1965.0}
11: min_energy: -12.0, max_energy: 8.0, {'qpu_sampling_time': 23894.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 198.4, 'qpu_access_time': 34653.7, 'qpu_access_overhead_time': 1370.3, 'qpu_programming_time': 10759.7, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 320.0, 'post_processing_overhead_time': 320.0}
12: min_energy: 4.0, max_energy: 230.0, {'qpu_sampling_time': 23894.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 198.4, 'qpu_access_time': 34708.3, 'qpu_access_overhead_time': 1353.7, 'qpu_programming_time': 10814.3, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 367.0, 'post_processing_overhead_time': 367.0}
13: min_energy: 5.0, max_energy: 211.0, {'qpu_sampling_time': 23894.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 198.4, 'qpu_access_time': 34724.3, 'qpu_access_overhead_time': 1308.7, 'qpu_programming_time': 10830.3, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 529.0, 'post_processing_overhead_time': 529.0}
14: min_energy: -43.0, max_energy: -42.0, {'qpu_sampling_time': 24440.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 203.86, 'qpu_access_time': 35147.5, 'qpu_access_overhead_time': 1046.5, 'qpu_programming_time': 10707.5, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 398.0, 'post_processing_overhead_time': 398.0}
15: min_energy: -23.0, max_energy: 6.0, {'qpu_sampling_time': 24280.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 202.26, 'qpu_access_time': 35086.7, 'qpu_access_overhead_time': 1916.3, 'qpu_programming_time': 10806.7, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 515.0, 'post_processing_overhead_time': 515.0}
