17: min_energy: 3.0, max_energy: 250.0, {'qpu_sampling_time': 24440.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 203.86, 'qpu_access_time': 35262.7, 'qpu_access_overhead_time': 1431.3, 'qpu_programming_time': 10822.7, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 1975.0, 'post_processing_overhead_time': 1975.0}
18: min_energy: 17.0, max_energy: 427.0, {'qpu_sampling_time': 23894.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 198.4, 'qpu_access_time': 34787.3, 'qpu_access_overhead_time': 1850.7, 'qpu_programming_time': 10893.3, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 713.0, 'post_processing_overhead_time': 713.0}
19: min_energy: 16.0, max_energy: 124.0, {'qpu_sampling_time': 23894.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 198.4, 'qpu_access_time': 34801.5, 'qpu_access_overhead_time': 1303.5, 'qpu_programming_time': 10907.5, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 330.0, 'post_processing_overhead_time': 330.0}
20: min_energy: 41.0, max_energy: 897.0, {'qpu_sampling_time': 24440.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 203.86, 'qpu_access_time': 35309.1, 'qpu_access_overhead_time': 1314.9, 'qpu_programming_time': 10869.1, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 484.0, 'post_processing_overhead_time': 484.0}
21: min_energy: 12.0, max_energy: 1148.0, {'qpu_sampling_time': 24444.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 203.9, 'qpu_access_time': 35307.9, 'qpu_access_overhead_time': 1172.1, 'qpu_programming_time': 10863.9, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 2004.0, 'post_processing_overhead_time': 2004.0}
22: min_energy: 40.0, max_energy: 747.0, {'qpu_sampling_time': 24446.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 203.92, 'qpu_access_time': 35355.1, 'qpu_access_overhead_time': 1733.9, 'qpu_programming_time': 10909.1, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 1932.0, 'post_processing_overhead_time': 1932.0}
23: min_energy: 26.0, max_energy: 408.0, {'qpu_sampling_time': 23894.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 198.4, 'qpu_access_time': 34819.1, 'qpu_access_overhead_time': 1228.9, 'qpu_programming_time': 10925.1, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 1110.0, 'post_processing_overhead_time': 1110.0}
24: min_energy: 44.0, max_energy: 763.0, {'qpu_sampling_time': 23894.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 198.4, 'qpu_access_time': 34809.3, 'qpu_access_overhead_time': 1397.7, 'qpu_programming_time': 10915.3, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 406.0, 'post_processing_overhead_time': 406.0}
25: min_energy: 8.0, max_energy: 114.0, {'qpu_sampling_time': 24380.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 203.26, 'qpu_access_time': 35255.1, 'qpu_access_overhead_time': 1575.9, 'qpu_programming_time': 10875.1, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 321.0, 'post_processing_overhead_time': 321.0}
26: min_energy: 67.0, max_energy: 1359.0, {'qpu_sampling_time': 23894.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 198.4, 'qpu_access_time': 34834.9, 'qpu_access_overhead_time': 1526.1, 'qpu_programming_time': 10940.9, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 502.0, 'post_processing_overhead_time': 502.0}
27: min_energy: -1.0, max_energy: 92.0, {'qpu_sampling_time': 23894.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 198.4, 'qpu_access_time': 34755.9, 'qpu_access_overhead_time': 1627.1, 'qpu_programming_time': 10861.9, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 430.0, 'post_processing_overhead_time': 430.0}
28: min_energy: 54.0, max_energy: 695.0, {'qpu_sampling_time': 23894.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 198.4, 'qpu_access_time': 34880.7, 'qpu_access_overhead_time': 1150.3, 'qpu_programming_time': 10986.7, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 331.0, 'post_processing_overhead_time': 331.0}
29: min_energy: 95.0, max_energy: 1663.0, {'qpu_sampling_time': 24318.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 202.64, 'qpu_access_time': 35260.7, 'qpu_access_overhead_time': 1319.3, 'qpu_programming_time': 10942.7, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 343.0, 'post_processing_overhead_time': 343.0}
30: min_energy: 82.0, max_energy: 1666.0, {'qpu_sampling_time': 24248.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 201.94, 'qpu_access_time': 35264.7, 'qpu_access_overhead_time': 1855.3, 'qpu_programming_time': 11016.7, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 295.0, 'post_processing_overhead_time': 295.0}
31: min_energy: 89.0, max_energy: 1247.0, {'qpu_sampling_time': 24412.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 203.58, 'qpu_access_time': 35380.9, 'qpu_access_overhead_time': 1298.1, 'qpu_programming_time': 10968.9, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 358.0, 'post_processing_overhead_time': 358.0}
