1: min_energy: -9.0, max_energy: -9.0, {'qpu_sampling_time': 23894.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 198.4, 'qpu_access_time': 34625.9, 'qpu_access_overhead_time': 1171.1, 'qpu_programming_time': 10731.9, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 315.0, 'post_processing_overhead_time': 315.0}
2: min_energy: -1.0, max_energy: -1.0, {'qpu_sampling_time': 23894.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 198.4, 'qpu_access_time': 34605.9, 'qpu_access_overhead_time': 1338.1, 'qpu_programming_time': 10711.9, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 843.0, 'post_processing_overhead_time': 843.0}
3: min_energy: -4.0, max_energy: 3.0, {'qpu_sampling_time': 23894.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 198.4, 'qpu_access_time': 34629.9, 'qpu_access_overhead_time': 1223.1, 'qpu_programming_time': 10735.9, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 263.0, 'post_processing_overhead_time': 263.0}
4: min_energy: -14.0, max_energy: -13.0, {'qpu_sampling_time': 23894.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 198.4, 'qpu_access_time': 34625.9, 'qpu_access_overhead_time': 1067.1, 'qpu_programming_time': 10731.9, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 947.0, 'post_processing_overhead_time': 947.0}
5: min_energy: -8.0, max_energy: -7.0, {'qpu_sampling_time': 23894.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 198.4, 'qpu_access_time': 34626.1, 'qpu_access_overhead_time': 1555.9, 'qpu_programming_time': 10732.1, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 196.0, 'post_processing_overhead_time': 196.0}
6: min_energy: -16.0, max_energy: -15.0, {'qpu_sampling_time': 23894.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 198.4, 'qpu_access_time': 34626.7, 'qpu_access_overhead_time': 1190.3, 'qpu_programming_time': 10732.7, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 1306.0, 'post_processing_overhead_time': 1306.0}
7: min_energy: -7.0, max_energy: 8.0, {'qpu_sampling_time': 23894.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 198.4, 'qpu_access_time': 34620.1, 'qpu_access_overhead_time': 1216.9, 'qpu_programming_time': 10726.1, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 395.0, 'post_processing_overhead_time': 395.0}
8: min_energy: -2.0, max_energy: 64.0, {'qpu_sampling_time': 23894.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 198.4, 'qpu_access_time': 34632.9, 'qpu_access_overhead_time': 1001.1, 'qpu_programming_time': 10738.9, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 366.0, 'post_processing_overhead_time': 366.0}
9: min_energy: 2.0, max_energy: 30.0, {'qpu_sampling_time': 23894.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 198.4, 'qpu_access_time': 34658.3, 'qpu_access_overhead_time': 1275.7, 'qpu_programming_time': 10764.3, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 481.0, 'post_processing_overhead_time': 481.0}
10: min_energy: -4.0, max_energy: 40.0, {'qpu_sampling_time': 23894.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 198.4, 'qpu_access_time': 34647.7, 'qpu_access_overhead_time': 2137.3, 'qpu_programming_time': 10753.7, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 510.0, 'post_processing_overhead_time': 510.0}
11: min_energy: 7.0, max_energy: 112.0, {'qpu_sampling_time': 24380.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 203.26, 'qpu_access_time': 35162.1, 'qpu_access_overhead_time': 1535.9, 'qpu_programming_time': 10782.1, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 438.0, 'post_processing_overhead_time': 438.0}
12: min_energy: 2.0, max_energy: 230.0, {'qpu_sampling_time': 23894.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 198.4, 'qpu_access_time': 34678.3, 'qpu_access_overhead_time': 2112.7, 'qpu_programming_time': 10784.3, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 791.0, 'post_processing_overhead_time': 791.0}
13: min_energy: 4.0, max_energy: 274.0, {'qpu_sampling_time': 24318.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 202.64, 'qpu_access_time': 35129.1, 'qpu_access_overhead_time': 1117.9, 'qpu_programming_time': 10811.1, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 865.0, 'post_processing_overhead_time': 865.0}
14: min_energy: 5.0, max_energy: 140.0, {'qpu_sampling_time': 23894.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 198.4, 'qpu_access_time': 34742.1, 'qpu_access_overhead_time': 2381.9, 'qpu_programming_time': 10848.1, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 2073.0, 'post_processing_overhead_time': 2073.0}
15: min_energy: -12.0, max_energy: 9.0, {'qpu_sampling_time': 23894.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 198.4, 'qpu_access_time': 34675.1, 'qpu_access_overhead_time': 1168.9, 'qpu_programming_time': 10781.1, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 895.0, 'post_processing_overhead_time': 895.0}
16: min_energy: 6.0, max_energy: 119.0, {'qpu_sampling_time': 24348.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 202.94, 'qpu_access_time': 35197.9, 'qpu_access_overhead_time': 2879.1, 'qpu_programming_time': 10849.9, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 482.0, 'post_processing_overhead_time': 482.0}
17: min_energy: 18.0, max_energy: 277.0, {'qpu_sampling_time': 24348.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 202.94, 'qpu_access_time': 35211.1, 'qpu_access_overhead_time': 1228.9, 'qpu_programming_time': 10863.1, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 501.0, 'post_processing_overhead_time': 501.0}
18: min_energy: -56.0, max_energy: -55.0, {'qpu_sampling_time': 23894.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 198.4, 'qpu_access_time': 34605.9, 'qpu_access_overhead_time': 1007.1, 'qpu_programming_time': 10711.9, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 991.0, 'post_processing_overhead_time': 991.0}
19: min_energy: 18.0, max_energy: 527.0, {'qpu_sampling_time': 23894.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 198.4, 'qpu_access_time': 34793.9, 'qpu_access_overhead_time': 1012.1, 'qpu_programming_time': 10899.9, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 969.0, 'post_processing_overhead_time': 969.0}
20: min_energy: 19.0, max_energy: 389.0, {'qpu_sampling_time': 23894.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 198.4, 'qpu_access_time': 34778.7, 'qpu_access_overhead_time': 1656.3, 'qpu_programming_time': 10884.7, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 580.0, 'post_processing_overhead_time': 580.0}
21: min_energy: 11.0, max_energy: 208.0, {'qpu_sampling_time': 24284.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 202.3, 'qpu_access_time': 35215.7, 'qpu_access_overhead_time': 1826.3, 'qpu_programming_time': 10931.7, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 316.0, 'post_processing_overhead_time': 316.0}
22: min_energy: 23.0, max_energy: 458.0, {'qpu_sampling_time': 23894.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 198.4, 'qpu_access_time': 34822.5, 'qpu_access_overhead_time': 1147.5, 'qpu_programming_time': 10928.5, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 339.0, 'post_processing_overhead_time': 339.0}
23: min_energy: -17.0, max_energy: 10.0, {'qpu_sampling_time': 24440.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 203.86, 'qpu_access_time': 35201.3, 'qpu_access_overhead_time': 898.7, 'qpu_programming_time': 10761.3, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 1912.0, 'post_processing_overhead_time': 1912.0}
24: min_energy: 37.0, max_energy: 630.0, {'qpu_sampling_time': 24376.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 203.22, 'qpu_access_time': 35301.3, 'qpu_access_overhead_time': 1543.7, 'qpu_programming_time': 10925.3, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 2051.0, 'post_processing_overhead_time': 2051.0}
