1: min_energy: 0.0, max_energy: 0.0, {'qpu_sampling_time': 23894.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 198.4, 'qpu_access_time': 34616.7, 'qpu_access_overhead_time': 1476.3, 'qpu_programming_time': 10722.7, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 812.0, 'post_processing_overhead_time': 812.0}
2: min_energy: -7.0, max_energy: -7.0, {'qpu_sampling_time': 23894.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 198.4, 'qpu_access_time': 34620.9, 'qpu_access_overhead_time': 1122.1, 'qpu_programming_time': 10726.9, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 346.0, 'post_processing_overhead_time': 346.0}
3: min_energy: -6.0, max_energy: -6.0, {'qpu_sampling_time': 23894.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 198.4, 'qpu_access_time': 34619.1, 'qpu_access_overhead_time': 1480.9, 'qpu_programming_time': 10725.1, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 1067.0, 'post_processing_overhead_time': 1067.0}
4: min_energy: -15.0, max_energy: -14.0, {'qpu_sampling_time': 23894.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 198.4, 'qpu_access_time': 34617.1, 'qpu_access_overhead_time': 1281.9, 'qpu_programming_time': 10723.1, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 3461.0, 'post_processing_overhead_time': 3461.0}
5: min_energy: -3.0, max_energy: 23.0, {'qpu_sampling_time': 23894.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 198.4, 'qpu_access_time': 34615.5, 'qpu_access_overhead_time': 1397.5, 'qpu_programming_time': 10721.5, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 1874.0, 'post_processing_overhead_time': 1874.0}
6: min_energy: -2.0, max_energy: 15.0, {'qpu_sampling_time': 23894.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 198.4, 'qpu_access_time': 34616.5, 'qpu_access_overhead_time': 1038.5, 'qpu_programming_time': 10722.5, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 1873.0, 'post_processing_overhead_time': 1873.0}
7: min_energy: -8.0, max_energy: 9.0, {'qpu_sampling_time': 23894.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 198.4, 'qpu_access_time': 34612.7, 'qpu_access_overhead_time': 1535.3, 'qpu_programming_time': 10718.7, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 1916.0, 'post_processing_overhead_time': 1916.0}
8: min_energy: -1.0, max_energy: 48.0, {'qpu_sampling_time': 23894.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 198.4, 'qpu_access_time': 34634.5, 'qpu_access_overhead_time': 1144.5, 'qpu_programming_time': 10740.5, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 1856.0, 'post_processing_overhead_time': 1856.0}
9: min_energy: 0.0, max_energy: 189.0, {'qpu_sampling_time': 23894.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 198.4, 'qpu_access_time': 34671.7, 'qpu_access_overhead_time': 1347.3, 'qpu_programming_time': 10777.7, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 1909.0, 'post_processing_overhead_time': 1909.0}
10: min_energy: 1.0, max_energy: 76.0, {'qpu_sampling_time': 24312.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 202.58, 'qpu_access_time': 35091.9, 'qpu_access_overhead_time': 934.1, 'qpu_programming_time': 10779.9, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 513.0, 'post_processing_overhead_time': 513.0}
11: min_energy: 4.0, max_energy: 183.0, {'qpu_sampling_time': 23894.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 198.4, 'qpu_access_time': 34719.3, 'qpu_access_overhead_time': 1649.7, 'qpu_programming_time': 10825.3, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 314.0, 'post_processing_overhead_time': 314.0}
