1: min_energy: 0.0, max_energy: 0.0, {'qpu_sampling_time': 23894.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 198.4, 'qpu_access_time': 34601.9, 'qpu_access_overhead_time': 977.1, 'qpu_programming_time': 10707.9, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 668.0, 'post_processing_overhead_time': 668.0}
2: min_energy: -2.0, max_energy: -2.0, {'qpu_sampling_time': 23894.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 198.4, 'qpu_access_time': 34616.7, 'qpu_access_overhead_time': 1540.3, 'qpu_programming_time': 10722.7, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 584.0, 'post_processing_overhead_time': 584.0}
3: min_energy: -17.0, max_energy: -17.0, {'qpu_sampling_time': 23894.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 198.4, 'qpu_access_time': 34616.5, 'qpu_access_overhead_time': 985.5, 'qpu_programming_time': 10722.5, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 1919.0, 'post_processing_overhead_time': 1919.0}
4: min_energy: -1.0, max_energy: 13.0, {'qpu_sampling_time': 23894.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 198.4, 'qpu_access_time': 34620.9, 'qpu_access_overhead_time': 1223.1, 'qpu_programming_time': 10726.9, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 3714.0, 'post_processing_overhead_time': 3714.0}
5: min_energy: -8.0, max_energy: -7.0, {'qpu_sampling_time': 23894.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 198.4, 'qpu_access_time': 34620.1, 'qpu_access_overhead_time': 1182.9, 'qpu_programming_time': 10726.1, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 3661.0, 'post_processing_overhead_time': 3661.0}
6: min_energy: -3.0, max_energy: 9.0, {'qpu_sampling_time': 24252.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 201.98, 'qpu_access_time': 34966.1, 'qpu_access_overhead_time': 1659.9, 'qpu_programming_time': 10714.1, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 1887.0, 'post_processing_overhead_time': 1887.0}
7: min_energy: -1.0, max_energy: 43.0, {'qpu_sampling_time': 23894.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 198.4, 'qpu_access_time': 34648.9, 'qpu_access_overhead_time': 1161.1, 'qpu_programming_time': 10754.9, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 1885.0, 'post_processing_overhead_time': 1885.0}
8: min_energy: -5.0, max_energy: 68.0, {'qpu_sampling_time': 23894.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 198.4, 'qpu_access_time': 34665.5, 'qpu_access_overhead_time': 1675.5, 'qpu_programming_time': 10771.5, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 1841.0, 'post_processing_overhead_time': 1841.0}
9: min_energy: -4.0, max_energy: 57.0, {'qpu_sampling_time': 24444.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 203.9, 'qpu_access_time': 35199.9, 'qpu_access_overhead_time': 1303.1, 'qpu_programming_time': 10755.9, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 1848.0, 'post_processing_overhead_time': 1848.0}
10: min_energy: -12.0, max_energy: 36.0, {'qpu_sampling_time': 23894.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 198.4, 'qpu_access_time': 34639.3, 'qpu_access_overhead_time': 1059.7, 'qpu_programming_time': 10745.3, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 680.0, 'post_processing_overhead_time': 680.0}
11: min_energy: 4.0, max_energy: 303.0, {'qpu_sampling_time': 23894.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 198.4, 'qpu_access_time': 34696.7, 'qpu_access_overhead_time': 1273.3, 'qpu_programming_time': 10802.7, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 899.0, 'post_processing_overhead_time': 899.0}
