1: min_energy: 0.0, max_energy: 0.0, {'qpu_sampling_time': 23894.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 198.4, 'qpu_access_time': 34616.7, 'qpu_access_overhead_time': 1265.3, 'qpu_programming_time': 10722.7, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 373.0, 'post_processing_overhead_time': 373.0}
2: min_energy: -3.0, max_energy: -3.0, {'qpu_sampling_time': 23894.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 198.4, 'qpu_access_time': 34620.9, 'qpu_access_overhead_time': 1173.1, 'qpu_programming_time': 10726.9, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 408.0, 'post_processing_overhead_time': 408.0}
3: min_energy: -9.0, max_energy: 0.0, {'qpu_sampling_time': 23894.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 198.4, 'qpu_access_time': 34605.3, 'qpu_access_overhead_time': 1369.7, 'qpu_programming_time': 10711.3, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 354.0, 'post_processing_overhead_time': 354.0}
4: min_energy: -4.0, max_energy: -4.0, {'qpu_sampling_time': 23894.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 198.4, 'qpu_access_time': 34616.7, 'qpu_access_overhead_time': 1061.3, 'qpu_programming_time': 10722.7, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 479.0, 'post_processing_overhead_time': 479.0}
5: min_energy: -6.0, max_energy: 2.0, {'qpu_sampling_time': 23894.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 198.4, 'qpu_access_time': 34618.7, 'qpu_access_overhead_time': 1291.3, 'qpu_programming_time': 10724.7, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 1949.0, 'post_processing_overhead_time': 1949.0}
6: min_energy: -4.0, max_energy: 23.0, {'qpu_sampling_time': 23894.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 198.4, 'qpu_access_time': 34652.5, 'qpu_access_overhead_time': 1503.5, 'qpu_programming_time': 10758.5, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 1883.0, 'post_processing_overhead_time': 1883.0}
7: min_energy: -19.0, max_energy: -18.0, {'qpu_sampling_time': 23894.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 198.4, 'qpu_access_time': 34616.9, 'qpu_access_overhead_time': 1402.1, 'qpu_programming_time': 10722.9, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 3710.0, 'post_processing_overhead_time': 3710.0}
8: min_energy: -2.0, max_energy: 52.0, {'qpu_sampling_time': 23894.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 198.4, 'qpu_access_time': 34634.3, 'qpu_access_overhead_time': 973.7, 'qpu_programming_time': 10740.3, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 3708.0, 'post_processing_overhead_time': 3708.0}
9: min_energy: -16.0, max_energy: -7.0, {'qpu_sampling_time': 23894.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 198.4, 'qpu_access_time': 34606.9, 'qpu_access_overhead_time': 1273.1, 'qpu_programming_time': 10712.9, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 3683.0, 'post_processing_overhead_time': 3683.0}
10: min_energy: 0.0, max_energy: 96.0, {'qpu_sampling_time': 23894.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 198.4, 'qpu_access_time': 34658.9, 'qpu_access_overhead_time': 1352.1, 'qpu_programming_time': 10764.9, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 1916.0, 'post_processing_overhead_time': 1916.0}
11: min_energy: 1.0, max_energy: 74.0, {'qpu_sampling_time': 23894.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 198.4, 'qpu_access_time': 34689.5, 'qpu_access_overhead_time': 1502.5, 'qpu_programming_time': 10795.5, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 1984.0, 'post_processing_overhead_time': 1984.0}
12: min_energy: 3.0, max_energy: 203.0, {'qpu_sampling_time': 23894.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 198.4, 'qpu_access_time': 34688.5, 'qpu_access_overhead_time': 1041.5, 'qpu_programming_time': 10794.5, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 1905.0, 'post_processing_overhead_time': 1905.0}
13: min_energy: 6.0, max_energy: 301.0, {'qpu_sampling_time': 24444.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 203.9, 'qpu_access_time': 35219.5, 'qpu_access_overhead_time': 1314.5, 'qpu_programming_time': 10775.5, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 1954.0, 'post_processing_overhead_time': 1954.0}
14: min_energy: 6.0, max_energy: 217.0, {'qpu_sampling_time': 24440.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 203.86, 'qpu_access_time': 35256.1, 'qpu_access_overhead_time': 1362.9, 'qpu_programming_time': 10816.1, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 1936.0, 'post_processing_overhead_time': 1936.0}
15: min_energy: -33.0, max_energy: -9.0, {'qpu_sampling_time': 23894.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 198.4, 'qpu_access_time': 34654.7, 'qpu_access_overhead_time': 1513.3, 'qpu_programming_time': 10760.7, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 1898.0, 'post_processing_overhead_time': 1898.0}
16: min_energy: 7.0, max_energy: 112.0, {'qpu_sampling_time': 23894.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 198.4, 'qpu_access_time': 34720.7, 'qpu_access_overhead_time': 889.3, 'qpu_programming_time': 10826.7, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 1923.0, 'post_processing_overhead_time': 1923.0}
17: min_energy: 16.0, max_energy: 262.0, {'qpu_sampling_time': 23894.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 198.4, 'qpu_access_time': 34752.3, 'qpu_access_overhead_time': 1287.7, 'qpu_programming_time': 10858.3, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 444.0, 'post_processing_overhead_time': 444.0}
18: min_energy: 12.0, max_energy: 261.0, {'qpu_sampling_time': 23894.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 198.4, 'qpu_access_time': 34756.7, 'qpu_access_overhead_time': 1308.3, 'qpu_programming_time': 10862.7, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 2602.0, 'post_processing_overhead_time': 2602.0}
19: min_energy: 9.0, max_energy: 483.0, {'qpu_sampling_time': 24412.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 203.58, 'qpu_access_time': 35271.1, 'qpu_access_overhead_time': 1609.9, 'qpu_programming_time': 10859.1, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 2617.0, 'post_processing_overhead_time': 2617.0}
20: min_energy: 19.0, max_energy: 367.0, {'qpu_sampling_time': 24348.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 202.94, 'qpu_access_time': 35215.5, 'qpu_access_overhead_time': 1113.5, 'qpu_programming_time': 10867.5, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 2082.0, 'post_processing_overhead_time': 2082.0}
21: min_energy: 12.0, max_energy: 355.0, {'qpu_sampling_time': 24280.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 202.26, 'qpu_access_time': 35222.7, 'qpu_access_overhead_time': 1316.3, 'qpu_programming_time': 10942.7, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 1996.0, 'post_processing_overhead_time': 1996.0}
22: min_energy: 32.0, max_energy: 439.0, {'qpu_sampling_time': 24376.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 203.22, 'qpu_access_time': 35285.9, 'qpu_access_overhead_time': 1237.1, 'qpu_programming_time': 10909.9, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 1981.0, 'post_processing_overhead_time': 1981.0}
23: min_energy: 44.0, max_energy: 991.0, {'qpu_sampling_time': 24376.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 203.22, 'qpu_access_time': 35244.3, 'qpu_access_overhead_time': 1510.7, 'qpu_programming_time': 10868.3, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 2073.0, 'post_processing_overhead_time': 2073.0}
24: min_energy: 23.0, max_energy: 936.0, {'qpu_sampling_time': 24348.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 202.94, 'qpu_access_time': 35245.7, 'qpu_access_overhead_time': 1410.3, 'qpu_programming_time': 10897.7, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 1992.0, 'post_processing_overhead_time': 1992.0}
25: min_energy: 16.0, max_energy: 255.0, {'qpu_sampling_time': 24376.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 203.22, 'qpu_access_time': 35347.7, 'qpu_access_overhead_time': 791.3, 'qpu_programming_time': 10971.7, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 2072.0, 'post_processing_overhead_time': 2072.0}
26: min_energy: 52.0, max_energy: 965.0, {'qpu_sampling_time': 24412.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 203.58, 'qpu_access_time': 35314.9, 'qpu_access_overhead_time': 1947.1, 'qpu_programming_time': 10902.9, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 3800.0, 'post_processing_overhead_time': 3800.0}
27: min_energy: 50.0, max_energy: 1488.0, {'qpu_sampling_time': 24444.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 203.9, 'qpu_access_time': 35367.9, 'qpu_access_overhead_time': 2056.1, 'qpu_programming_time': 10923.9, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 2032.0, 'post_processing_overhead_time': 2032.0}
28: min_energy: 28.0, max_energy: 1447.0, {'qpu_sampling_time': 24412.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 203.58, 'qpu_access_time': 35379.5, 'qpu_access_overhead_time': 1966.5, 'qpu_programming_time': 10967.5, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 2057.0, 'post_processing_overhead_time': 2057.0}
29: min_energy: -60.0, max_energy: -58.0, {'qpu_sampling_time': 24220.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 201.66, 'qpu_access_time': 34926.9, 'qpu_access_overhead_time': 2316.1, 'qpu_programming_time': 10706.9, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 1887.0, 'post_processing_overhead_time': 1887.0}
30: min_energy: 60.0, max_energy: 697.0, {'qpu_sampling_time': 24446.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 203.92, 'qpu_access_time': 35390.3, 'qpu_access_overhead_time': 1251.7, 'qpu_programming_time': 10944.3, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 2039.0, 'post_processing_overhead_time': 2039.0}
31: min_energy: 29.0, max_energy: 242.0, {'qpu_sampling_time': 24112.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 200.58, 'qpu_access_time': 35079.9, 'qpu_access_overhead_time': 1826.1, 'qpu_programming_time': 10967.9, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 1997.0, 'post_processing_overhead_time': 1997.0}
32: min_energy: 90.0, max_energy: 1143.0, {'qpu_sampling_time': 24440.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 203.86, 'qpu_access_time': 35395.1, 'qpu_access_overhead_time': 1494.9, 'qpu_programming_time': 10955.1, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 3846.0, 'post_processing_overhead_time': 3846.0}
33: min_energy: 164.0, max_energy: 2829.0, {'qpu_sampling_time': 24376.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 203.22, 'qpu_access_time': 35382.1, 'qpu_access_overhead_time': 2107.9, 'qpu_programming_time': 11006.1, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 2006.0, 'post_processing_overhead_time': 2006.0}
34: min_energy: 80.0, max_energy: 1792.0, {'qpu_sampling_time': 24312.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 202.58, 'qpu_access_time': 35303.9, 'qpu_access_overhead_time': 2370.1, 'qpu_programming_time': 10991.9, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 2019.0, 'post_processing_overhead_time': 2019.0}
