1: min_energy: -8.0, max_energy: -8.0, {'qpu_sampling_time': 23894.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 198.4, 'qpu_access_time': 34606.1, 'qpu_access_overhead_time': 1166.9, 'qpu_programming_time': 10712.1, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 291.0, 'post_processing_overhead_time': 291.0}
2: min_energy: -6.0, max_energy: -5.0, {'qpu_sampling_time': 23894.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 198.4, 'qpu_access_time': 34605.9, 'qpu_access_overhead_time': 1999.1, 'qpu_programming_time': 10711.9, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 189.0, 'post_processing_overhead_time': 189.0}
3: min_energy: -2.0, max_energy: -2.0, {'qpu_sampling_time': 23894.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 198.4, 'qpu_access_time': 34605.9, 'qpu_access_overhead_time': 887.1, 'qpu_programming_time': 10711.9, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 359.0, 'post_processing_overhead_time': 359.0}
4: min_energy: -7.0, max_energy: -1.0, {'qpu_sampling_time': 23894.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 198.4, 'qpu_access_time': 34606.1, 'qpu_access_overhead_time': 975.9, 'qpu_programming_time': 10712.1, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 1921.0, 'post_processing_overhead_time': 1921.0}
5: min_energy: -5.0, max_energy: 12.0, {'qpu_sampling_time': 23894.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 198.4, 'qpu_access_time': 34636.9, 'qpu_access_overhead_time': 1090.1, 'qpu_programming_time': 10742.9, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 4834.0, 'post_processing_overhead_time': 4834.0}
6: min_energy: -2.0, max_energy: 22.0, {'qpu_sampling_time': 23894.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 198.4, 'qpu_access_time': 34621.1, 'qpu_access_overhead_time': 2133.9, 'qpu_programming_time': 10727.1, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 3658.0, 'post_processing_overhead_time': 3658.0}
7: min_energy: -12.0, max_energy: -11.0, {'qpu_sampling_time': 23894.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 198.4, 'qpu_access_time': 34621.1, 'qpu_access_overhead_time': 892.9, 'qpu_programming_time': 10727.1, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 1898.0, 'post_processing_overhead_time': 1898.0}
8: min_energy: -2.0, max_energy: 49.0, {'qpu_sampling_time': 23894.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 198.4, 'qpu_access_time': 34656.3, 'qpu_access_overhead_time': 895.7, 'qpu_programming_time': 10762.3, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 1868.0, 'post_processing_overhead_time': 1868.0}
9: min_energy: -12.0, max_energy: -11.0, {'qpu_sampling_time': 23916.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 198.62, 'qpu_access_time': 34642.9, 'qpu_access_overhead_time': 1166.1, 'qpu_programming_time': 10726.9, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 998.0, 'post_processing_overhead_time': 998.0}
10: min_energy: 1.0, max_energy: 100.0, {'qpu_sampling_time': 23894.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 198.4, 'qpu_access_time': 34688.5, 'qpu_access_overhead_time': 666.5, 'qpu_programming_time': 10794.5, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 1910.0, 'post_processing_overhead_time': 1910.0}
11: min_energy: -20.0, max_energy: -15.0, {'qpu_sampling_time': 24140.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 200.86, 'qpu_access_time': 34870.9, 'qpu_access_overhead_time': 1115.1, 'qpu_programming_time': 10730.9, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 3713.0, 'post_processing_overhead_time': 3713.0}
